CID,NumberOfRings,NumberOfAromaticRings,ALogP,MolecularWeight,RotatableBondCount,HydrogenBondAcceptorCount,HydrogenBondDonorCount,TPSA,XlogP,EC50
1201,4,2.0,0.0,370.43884,2,5,1,65.0,3.8,2.28
3610,1,1.0,0.0,194.27012,5,2,2,40.5,3.5,0.781
3793,7,5.0,0.0,705.63342,11,9,0,101.0,5.7,0.1
4497,2,1.0,0.0,418.44034,9,8,1,120.0,3.1,1.314
7573,2,2.0,4.22,226.31682,4,2,2,24.1,4.0,2.524
9046,5,1.0,5.19,364.52038,3,2,1,29.5,5.3,4.431
17520,2,2.0,1.24,151.1857,0,2,1,54.4,1.3,0.524
31316,4,3.0,6.24,430.5354,4,4,2,66.8,6.8,2.112
32251,2,2.0,1.92,220.65496,3,2,0,34.9,2.2,30.0
34458,5,2.0,2.7,339.38504,2,5,0,40.2,3.1,3.43
34633,4,2.0,3.04,427.5166,6,6,1,96.4,3.0,5.854
40598,3,,2.9,294.39078,4,2,1,,3.3,0.721
41368,2,2.0,2.88,295.76462,5,4,1,60.2,3.1,1.506
43234,3,2.0,3.48,342.22038,5,4,0,49.2,3.5,0.1
47508,4,4.0,4.29,327.37918,3,3,2,54.0,4.2,0.556
58953,3,2.0,0.0,242.35928,2,1,1,19.0,3.5,1.146
62969,2,2.0,0.0,491.06256,13,6,1,64.0,0.0,0.1
64143,4,2.0,4.61,567.7824,10,6,4,127.0,5.7,3.422
66146,1,1.0,0.0,162.57758,1,3,4,97.8,0.0,30.0
66541,2,0.0,0.0,193.16278,0,3,0,77.7,-0.7,0.492
68207,4,4.0,0.0,380.28102,1,3,2,55.9,0.0,0.1
76915,1,0.0,0.0,220.3074,2,2,0,34.1,3.3,0.62
79403,2,2.0,0.0,197.2756,3,1,1,12.0,3.5,5.252
91378,2,2.0,0.0,289.7998,5,2,1,20.3,0.0,3.596
100492,5,3.0,0.0,380.34754,3,7,1,83.4,3.6,1.648
110119,2,1.0,0.0,329.21977,1,1,0,3.0,0.0,1.494
114298,2,2.0,0.0,375.26829,4,3,0,38.4,0.0,6.532
130606,3,3.0,0.0,328.38554,4,5,1,76.7,3.0,0.524
145758,3,3.0,0.0,238.28446,3,3,2,45.2,2.8,0.993
149800,4,4.0,5.2,284.35444,3,2,1,24.9,5.0,0.931
150655,3,3.0,0.0,252.31104,4,3,2,45.2,3.7,0.266
160115,6,4.0,0.0,518.46828,1,10,6,174.0,4.8,0.373
164754,1,0.0,3.81,639.82038,6,9,0,140.0,6.5,0.853
164981,3,3.0,0.0,227.28166,1,2,0,45.6,3.0,0.227
182785,4,4.0,0.0,327.42224,4,3,2,37.0,5.4,0.632
188677,3,2.0,0.0,386.87192,6,4,2,66.5,0.0,0.61
199391,3,3.0,0.0,275.34768,3,3,2,55.3,4.4,1.807
199911,2,1.0,0.0,327.84624,8,4,1,38.8,0.0,0.836
218206,2,1.0,0.0,255.74052,3,3,1,29.5,0.0,0.263
220284,2,2.0,0.0,246.25856,1,4,4,80.9,2.9,2.374
220706,2,2.0,0.0,252.14056,0,6,2,150.0,0.1,1.036
220846,2,2.0,0.0,183.24902,3,1,0,12.9,2.9,1.519
223284,2,1.0,0.0,220.3107,3,3,1,26.7,0.7,0.934
229939,4,4.0,0.0,310.39172,4,2,2,24.1,6.3,1.144
232432,6,3.0,0.0,533.6154,7,8,2,116.0,3.5,2.038
232557,2,2.0,0.0,320.32048,3,5,1,117.0,2.5,0.661
244989,4,0.0,0.0,348.3538,4,8,2,128.0,-0.4,0.1
245216,3,3.0,0.0,260.33304,4,2,2,24.1,5.0,0.937
255329,4,4.0,0.0,488.4968,6,5,4,139.0,4.0,1.015
258625,3,3.0,0.0,354.339522,6,5,1,60.4,5.0,0.542
279619,3,2.0,0.0,242.31622,2,3,1,36.4,2.7,1.785
282594,3,1.0,0.0,331.79342,2,3,0,54.4,3.7,1.833
301935,9,4.0,0.0,562.65486,2,7,1,61.4,5.9,0.193
305244,4,3.0,0.0,333.29764,2,5,0,96.1,2.4,3.666
312590,2,1.0,0.0,320.81384,7,4,1,49.4,3.6,0.987
313350,3,3.0,0.0,298.3165,2,4,1,103.0,4.2,0.407
314212,2,2.0,0.0,194.2535,1,3,1,61.6,1.9,0.122
314707,3,3.0,0.0,282.3171,2,4,0,86.4,4.6,2.729
321719,2,2.0,0.0,297.1367,4,3,1,51.2,3.2,2.496
325292,3,0.0,0.0,250.33338,0,3,0,43.4,2.7,2.607
328910,5,4.0,0.0,446.99162,4,3,1,60.6,6.6,2.732
339730,3,3.0,0.0,281.35226,2,3,1,44.7,3.3,0.646
365208,3,2.0,0.0,323.47506,4,3,3,36.1,4.8,4.141
371687,2,2.0,0.0,264.25722,2,5,0,101.0,1.8,3.708
373692,3,3.0,0.0,279.76844,1,4,0,86.4,3.6,2.261
380438,6,2.0,0.0,370.35932,2,7,0,131.0,4.0,0.77
394579,2,2.0,0.0,412.52188,9,4,2,76.7,5.3,2.468
446541,2,1.0,0.0,320.3371,6,6,2,93.1,3.2,1.643
470952,3,2.0,0.0,327.7186,3,5,2,83.5,2.7,2.737
470958,3,2.0,0.0,327.7186,3,5,2,83.5,2.7,30.0
480272,2,2.0,0.0,169.176163,0,3,1,54.4,1.4,0.202
546968,1,1.0,0.0,230.6946,5,4,2,56.7,0.7,0.658
548573,2,2.0,0.0,264.15482,1,5,0,88.2,3.4,1.447
555773,2,2.0,0.0,220.18482,2,5,0,85.8,2.0,0.459
561049,2,1.0,0.0,324.16986,5,4,1,55.4,2.0,0.808
563075,4,3.0,0.0,305.41672,4,2,1,22.3,3.1,0.277
564104,3,2.0,0.0,381.46808,8,5,1,61.9,2.2,0.123
566621,4,2.0,0.0,333.46658,6,2,0,20.3,4.8,1.903
580265,2,2.0,0.0,361.3062,6,7,1,139.0,2.5,0.1
580266,2,2.0,0.0,361.3062,6,7,1,139.0,2.5,0.107
606093,3,2.0,0.0,348.23432,3,3,1,30.5,3.7,60.0
606505,3,2.0,0.0,271.74146,1,1,0,20.3,3.8,2.087
619796,2,2.0,0.0,345.3068,5,6,0,121.0,2.7,0.7
620761,4,3.0,0.0,351.397363,1,6,1,100.0,4.5,0.191
630034,4,4.0,0.0,328.36724,4,5,2,70.9,3.2,1.22
